title,url,amount,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7
Advocating for Summer Youth Employment Programs,http://newschallenge.tumblr.com/post/25575988965/advocating-for-summer-youth-employment-programs,,,"  Data will be segmented into areas providing clarity on the benefits of summer youth employment for specific populations (participating youth, communities, businesses, and families).  It will be easily attainable and include stories and testimonials to ensure relevance.  ","  Current data reflects on total numbers of youth served, but does not dissect information on how it positively impacts other entities, individuals, and communities.  ","  Data helps put a face on the positive impact of summer youth employment.   Everyone lives in a community and wants to ensure its viability and future.  Once data is attained, marketing tools will be developed to highlight the success of the program and efforts of the community.  This will give recognition, a sense of good will, and data to advocate for future funding.  Elected officials will also be recipients of data and stories so they can be educated on the overwhelming positive impact of these programs.  ","  Two interns, who participated in a summer youth employment program and have technology experience, will be hired from local colleges to:  develop the data base, distribute surveys, create a face book page to highlight the  data along with supporting success stories, and create marketing materials.  NYATEP staff will develop a job description for the interns, supervise their work, edit and troubleshoot when necessary.  ","  Three components have been developed to jump start this project.  First, NYATEP has existing relationships with individuals and organizations who run the programs therefore collecting data will be easier.  Second, all of NYATEP staff have attended graduate school at local colleges and are familiar with the requirements of hiring an intern.  Third, NYATEP staff have expertise in computer data technology.  ","  Funds would be used to pay Intern’s salaries, marketing material, travel cost costs for interviews with sites, and a portion of NYATEP staff salary for supervision.  ","  The data collection methodology and marketing materials developed will be the frameworks for future research.  Additionally, a relationship with local colleges will ensure hiring future interns (pay or credit).  Lastly, interns will have work experience they can apply to future endeavors.  "
DataLab: Taking Central American Journalism To The Data-driven Era Through Computer-Assisted Reporting,http://newschallenge.tumblr.com/post/25575988080/datalab-taking-central-american-journalism-to-the,0,"Setting up a cross-disciplinary training center where reporters, developers and statisticians focus on leveraging data journalism literacy in Central America. ","First, by providing journalists with basis tools to request and analize data. Second, by building a library of databases containing critical government data (such as crime, political financing, human rights.) Third, by making sense of the different datasets for general audiences with appropriate storytelling and visualization techniques.","In the absence of similar initiatives, our DataLab will pioneer Computer Assisted Reporting (CAR) in Central America and lay the groundwork for sustained CAR education in the region.","This initiative responds to the matured need of the local journalistic community for information technology training and learning modern approaches to data gathering, its analysis, and digital storytelling.  Central America is a region in need of more transparency and access to public information, with talented journalists and developers eager to have a platform that would provide formal education on data journalism in their native language and conceived for their particular needs.  In addition, this project is underpinned by multiple years of its leaders’ experience on hands-on journalism as well as implementing successful journalistic projects in Costa Rica. ","M.A. Alejandra Fernández and Antonio Jiménez, two journalists who have led a successful news venture which has broken ground in convergence across media platforms in Costa Rica. In 2008, they pioneered the use of social media to promote citizen journalism when only a handful of Costa Ricans were subscribed to networks such as Twitter and Facebook, and no other national media outlet had ventured to introduced them in their newsrooms.  Both project leaders are educated on a postgraduate level in two of the best US journalism schools (Cronkite School of Journalism at ASU and Missouri School of Journalism) as Humphrey and Fulbright fellows. Alejandra is the only Costa Rican journalist with forma education in CAR.","We have worked on the concept of this project and by now we have achieved clarity on the existing educational needs among journalists in the region and how to address them through the proposed training. We have aligned stakeholder support in Costa Rica, where the DataLab would be located. Simultanously, we have begun to build a pool of potential experts based on our network of contacts within the US and Central American academic and journalistic communities. ","To build the basic infrastructure of a training center: leading team, operational framework, equipment and software. However, in addition to the funds, we would like to receive in-kind contributions from the Knight Foundation in terms of trainers, advisors (strategic planning and fundraising), access to existing resources (workshops, conferences, platforms), etc. ","DataLab’s first goal is to establish a training center which fosters data-journalism culture in Central America, that’ll lay the ground to become an ideas (and products) incubator that would get eventually funded. We plan to collaborate with news organizations and foundations on projects that’ll secure revenue streams and the Lab’s sustainability. "
Creating comparative data to study suicide rates of military personnel and criminal offenders,http://newschallenge.tumblr.com/post/25575987186/creating-comparative-data-to-study-suicide-rates-of,125000,Compare data and identify patterns for suicide rates of young males who have experienced (1) active military service and (2) contact with the criminal justice system.,"With 20% of all annual US suicides occurring among young active duty military males, and 35% occurring among males who  have had criminal justice system exposure, a comparison of  data may show causation patterns: trauma exposure, confinement, alcohol and substance abuse, availability of firearms, mental disorders occurring in both groups.",We are not aware of any study that compares the military and criminal justice experiences of young males in ways that may help with suicide prevention.,"A comparative study will work because attainable data exists that can be harvested and analyzed, and appropriate agency contacts can be identified to amplify on the existing data and receive and incorporate new comparative findings. If similar patterns do exist among young males in both study groups, then tailored suicide-prevention education and treatment programs can be prepared, perhaps even consolidated that might make early detection and treatment programs more effective.","Data analysis for male health issues, such as suicide prevention, is very fragmented.  Key data sources include hospitals, public health agencies, state and local departments of corrections, and select non-profit organizations. While the Veterans Administration is paying increased attention to military service health data, no one, including the National Institutes of Health, is comparing data across these fragmented lines, even on an international level coming from the International Society for Men’s Health (ISMH), which has expressed some interest but does not have an active program.","Principals of the applicant produced a men’s health study for Miami’s Overtown neighborhood and an ex-offender study of a sampling of Florida men. These projects have resulted in some basic data and, more importantly, knowledge of where additional data exists. The proposed study has never been done so large parts of the data must be gathered. Military data has become increasingly accessible through the Veterans Administration.","Funds would be used to purchase or otherwise obtain existing data-sets, enter data into data sets, ensure secure technology for data analysis and evaluation, obtain additional expert research talent for data analysis, prepare and disseminate a final report and make presentations.","Data produced by the project will be freely available, consistent with confidentiality requirements, to all users. Data users, e.g., university researchers and government agencies will continue to advance similar studies. We will attract additional funding from public and private organizations to conduct additional research and collaboration on this topic."
Video Tagging for Data Categorization,http://newschallenge.tumblr.com/post/25575986265/video-tagging-for-data-categorization,,Develop “open source” software that tags people and objects that appear within any position of a video stream.,"It identifies people, places, and objects that are being viewed throughout the entire video. Tags will be created by electronically marking, and categorizing, specific items inside each video.","Existing methods of tagging are used only during production of a video, or during editing. Our solution allows anyone to tag video content, at anytime, inside any video.","Videos can now be identified, categorized, and stored in a single, easy-to-use, “searchable” format. This will facilitate online search, visual data and tagged content, contained in videos. This software has an immediate application, and relevancy, for the visualization of social media. By using advanced computer technologies, tagged data can be displayed, analyzed, and shared among the participants, and observers, of social media activities.   ","Dr. Donna Cox Donna is the first Michael Aiken Chair, Director of the Advanced Visualization Laboratory (AVL) at the National Center for Supercomputing Applications, and Director of the Emerging Digital Research and Education in Arts Media (eDream) Institute. She is a recognized pioneer in digital supercomputers.    Dr. Jerry Juska Jerry is a leading educator and innovator in the field of media communications and business informatics. Specializing in visual images and messaging, Dr. Juska has developed a nine-part model of informatics that is used to implement digital media programs.   Cy Caine Cy is President of Telcom Innovations and developer of TVnow.me.  ","Telcom Innovations has developed multiple capabilities to aggregate streaming video and hold it for tagging. A prototype system has been prepared for testing, but additional software is required. If successful, there will be public access to a “tagging platform”, which has the ability to index the contents of a video.   This is needed to manage the accelerated compounding of data caused by the dramatic increase in video production and distribution. The tagging identifies special elements inside a video, which give the user the ability to search for targeted objects and relevant frames within the video.","Secure more technical resources and equipment for encoding, editing and tagging multiple video files after they are uploaded into the site. Develop interfaces that permit fast, accurate, and dependable “tags” for people, places, and objects within the video",An advanced version of the software would be created and offered to corporations and organizations at a negotiated or preset prices for processing videos. 
What Matters Here - surfacing political issues from Twitter conversations in your city,http://newschallenge.tumblr.com/post/25575984635/what-matters-here-surfacing-political-issues-from,,"Build “What Matters Here”, an app that surfaces from Twitter the most-discussed political issues in your city and connects you to lawmakers.","Twitter is a continuous, decentralized town hall meeting.  People discuss issues that matter to them — “I lost my job today.”  We now have access to massive conversational data, and much of it is linked to location.  With real-time keyword analysis, we can show our neighbors & elected officials what *really* matters in their community. “What Matters in Phoenix?”  We can tell you.",No existing Twitter search or mapping tools surface political issues at a community level.  And our tool will be deeply connected to one of the most popular government transparency websites in the U.S.,"We are bringing together powerful data with a highly engaged user community. Twitter is a treasure-trove of real-time conversation on every imaginable topic. There are fascinating insights & trends about what matters in each of our communities that simply haven’t been surfaced. This is data that directly reflects interests of city residents and that speaks more broadly than just those citizens who already engage with government, or mention a specific bill by number or politician by name.  It will bring our communities and elected officials closer to pressing community concerns. Our existing user base will immediately become users of this new service and the immediacy of the insights — “People in Detroit talk about unemployment 80% more than the national average” — will drive viral adoption and engagement with officials. City hub page titles as, “What Matters in Philadelphia”, “What Matters in Chicago”, etc.","The Participatory Politics Foundation created and runs OpenCongress, the most-visited non-profit website in the country for tracking the U.S. Congress. OpenCongress receives up to 1 million visits per month and has a user community of more than 300,000. Our founding team also created Miro, Amara (Universal Subtitles), and Fight for the Future.  We have deep experience in political organizing and product development.  We know how to drive engagement — OpenCongress received more than 133,000 user comments on three unemployment bills in the 110th & 111th Congresses.  Miro and Amara each have millions of monthly users.  Fight for the Future has an email list of 3 million people. PPF is a 501c3 non-profit organization.","This new service will reveal what the top discussed political issues are in a city and what issues are disproportionately important compared to the rest of the country. Such data is interesting and compelling in its own right, for citizens and journalists and neighborhood groups and more.  But it becomes vastly more powerful when connected to OpenCongress’ extensive existing tools for engaging with elected officials and our large user community.  Are you wowed at the rate of discussion of health care in your city?  Click a single button on OpenCongress’ Message Builder to send an email to both your U.S. senators and your U.S. representative letting them know - and with further development, to your state government officials, city government, and everyone who represents you.","News Challenge funds will be used to fund the design, software development, and deployment of this Web service. PPF’s tools are free, libre, open-source, non-partisan, and collaborate in the open government data community. Site code will go up on GitHub for remixing and an open API will offer access to What Matters Here’s data & user-generated information. ","The Participatory Politics Foundation has been building and maintaining web services since 2006.  Once built, this tool will become part of our core set of projects and will be maintained by the organization.  In addition, we believe there may be business opportunities that can be built on the data discovery mechanisms that undermine the product.  Our founding team has extensive experience earning revenue with software applications and services such as Amara."
Social Networks for Ex-Offenders ,http://newschallenge.tumblr.com/post/25575983317/social-networks-for-ex-offenders,250000,Create state-wide ex-offender social networks bringing together dispersed services and program data into rich content environments aiding successful societal reentry.,"Data about ex-offender reentry services and programs is siloed among various organizations. It’s not managed to maximize positive outcomes for their reintroduction into the community and society. Compilation, analysis and easy-to-understand presentation of existing data surrounding reentry services offers ex-offenders and their helpmates better access and information  for successful reentry.","No comprehensive network or database exists for ex-offenders to access information and services, or establish outside or inside learning networks, prior to leaving prison. Only piecemeal programs are available.","Access before release from prison to a comprehensive, centralized private social network, staffed with appropriate counselors, would provide data on programs, services and contacts that could improve successful reentry. Small, experimental programs (e.g., Delray Beach, FL) proved the usefulness of a small scale network. Reentry has been repeatedly unsuccessful when such networks are unavailable. This project proposes bringing such a network “to scale” and to be comprehensive with data on employment, housing, health, money, continuing education, technical training, counseling, and family, friends and released ex-offenders. Offenders would have time to prepare in advance of release, making more successful transitions.","Aside from one known small-scale network (e.g., Delray Beach, FL), current research revealed no ex-offender reentry social networks on the scale we envision. Google recently launched a soc-net aimed at ex-offenders of violent extremist groups. A small UK soc-net connects women offenders with others. We have not found evidence of the type of social network that brings together many social, psychological, physical, economic and personal networks to focus solely on preparing the ex-offender for societal reentry and provides a one-stop shop-with diverse, rich data content and connections to help promote safe and productive reentry.","We currently have a conceptual model for a reentry network that was created through a previous foundation grant. As a concept, it requires building from ground up. We’ve prepared for support of a network by appropriate state and local government agencies to provide a working model that establishes the needed metrics to gauge success to deliver more “qualified” ex-offenders into society and showcasing a cost-effective model for broader adoption among states and participating organizations.","For a state-wide model, catalog existing ex-offender services and delivery processes; identify public, private and NFP service providers; market project participation; enable appropriate internet capabilities to offenders ; address institutional, legal and political requirements with state officials; and, build a working model for replication","We envision financial support will come primarily from the state and local government agencies, qualifying participating organizations as a membership fees, and small, future stipends from ex-offender participants for the benefits they receive. There is a potential business model here that will be explored."
OpenWater,http://newschallenge.tumblr.com/post/25575982052/openwater,320000,"Create a customizable, mobile app that visualizes news, current conditions/forecasts, water usage trends, Twitter feeds and related Great Lakes data.","People crave data to make decisions about their daily lives and environment. OpenWater will ingest and integrate data, allowing people to hone in on their community of interest and see what’s making news and what people are talking about: quickly, easily and on the fly via their mobile device.","Piloted for the Great Lakes, OpenWater provides customizable news visualization tools and “living” water trend maps to allow people to track the condition and uses of water in their communities.","Stewardship of the Great Lakes is largely dependent on the more than 36 million people who call the region home. OpenWater will activate people to take responsibility for water conservation and protection, in their homes, their communities, their watersheds, and the larger Great Lakes drainage basin that they’re a part of. People appreciate map-based navigation and the ability to customize the app to include data of most interest to them. OpenWater will be part of the Great Lakes Information Network (GLIN: www.glin.net), which has an already-established captive audience of tens of millions. OpenWater will be a prototype for other regions.","A team of talented, young developers at the Great Lakes Commission (Christine Manninen, Laura Andrews, Devra Polack, Guan Wang, Jeff McAulay, Stuart Eddy, Vitaly Peker, Frank Cardone) enhance GLIN daily based on user needs. This team consists of data analysts, graphic designers and GIS and network specialists, many with decades of experience building mapping applications and web-based communication tools. GLIN currently publishes daily feeds of Great Lakes-related news headlines, apps, and comprehensive data sets and maps related to topics ranging from energy planning and impacts on aquatic resources to fishery management to sustainable development of wind power in the region.","GLIN has existed for 20 years as a distributed network in which users can efficiently access information to make a difference for the Great Lakes. GLIN relies on engagement with partners to make Great Lakes data and information discoverable and usable. The team is currently building GLINv2.0, leveraging GLIN’s existing services to present information via new interfaces and mobile applications, including real-time data visualization tools for the Great Lakes Observing System, part of the Integrated Ocean Observing System. GLIN is a dynamic, growing network that seeks to drive environmental conservation and sustainability of the binational Great Lakes-St. Lawrence River region.","Funds would be used for program related investment: user needs roundtables (primarily online), data compilation, programming, hardware/software configuration, testing, outreach, and product assessment/evaluation.","Four sustainability mechanisms are being explored: 1) advertising, 2) creative staffing solutions, including job-shares with GLIN partner organizations; 3) new funding sources to support the ongoing creation and maintenance of innovative products and services; and 4) creation of an endowment that will fund GLIN for decades into the future."
Video tagging,http://newschallenge.tumblr.com/post/25575975972/video-tagging,350000,Develop “open source” software that tags people and objects that appear within any position of a video stream.,"It identifies people, places, and objects that are being viewed throughout the entire video. Tags will be created by electronically marking, and categorizing, specific items inside each video. This improves relevancy by providing more information about the content of every video, and not just the name or title. ","Existing methods of tagging are used only during production of a video, or during editing. Our solution allows anyone to tag video content, at anytime, inside any video.","Videos can now be identified, categorized, and stored in a single, easy-to-use, “searchable” format. This will facilitate online search, visual data and tagged content, contained in videos. This software has an immediate application, and relevancy, for the visualization of social media. By using advanced computer technologies, tagged data can be displayed, analyzed, and shared among the participants, and observers, of social media activities. ","Dr. Donna Cox Donna is the first Michael Aiken Chair, Director of the Advanced Visualization Laboratory (AVL) at the National Center for Supercomputing Applications, and Director of the Emerging Digital Research and Education in Arts Media (eDream) Institute. She is a recognized pioneer in digital supercomputers.  Dr. Jerry Juska Jerry is a leading educator and innovator in the field of media communications and business informatics. Specializing in visual images and messaging, Dr. Juska has developed a nine-part model of informatics that is used to implement digital media programs. Cy Caine Cy is President of Telcom Innovations and developer of TVnow.me.","Telcom Innovations has developed multiple capabilities to aggregate streaming video and hold it for tagging. A prototype system has been prepared for testing, but additional software is required. If successful, there will be public access to a “tagging platform”, which has the ability to index the contents of a video. This is needed to manage the accelerated compounding of data caused by the dramatic increase in video production and distribution. The tagging identifies special elements inside a video, which give the user the ability to search for targeted objects and relevant frames within the video. ","Secure more technical resources and equipment for encoding, editing and tagging multiple video files after they are uploaded into the site. Develop interfaces that permit fast, accurate, and dependable “tags” for people, places, and objects within the video",An advanced version of the software would be created and offered to corporations and organizations at a negotiated or preset prices for processing videos.                                   
Detecting corruption through open government data,http://newschallenge.tumblr.com/post/25575963212/detecting-corruption-through-open-government-data,90,Merge Social Network Analysis with Open Government Data to detect corrupt networks in decision-making processes.,Network analysis is used to detect different social phenomena but not to disclose political corruption. Our open-source tool will make it possible to analyze any “money and politics”-related dataset and to detect corrupt cliques by visualizing political and economic networks and applying social network analyzing methods for open data-sets.,"There are various data-sets on politicians, economic interests, tenders, subsidies and even possible conflicts of interest but no tools for investigating corrupt networks and barely any hard data on corruption.","Our tool will:- Visualize and cluster political and economic networks by SNA software and thus make data on decision-making understandable. - Filter relations by their sources (official gazettes, investigative articles, crowd-sourced info) and thus make data researchable.  - Track the following corruption-related phenomena by applying SNA methods: revolving door phenomenon, conflict of interest, information brokers, state capture, political and economic prestige, formal and informal power as well as the structural equivalence, density, age, complexity and other specifics of corrupt networks. We’ll thus make data actionable for investigation, research and advocacy.- Be standardized and open source and thus replicable.     ","K-Monitor, one of Hungary’s major anti-corruption NGOs promotes the transparency of public spending. We operate open data websites, conduct researches and advocate for legal reform. We have an extended knowledge on corruption and a deep understanding of technology and open data. The project will be implemented with several coders, corruption researchers and investigative journalists. Major advisor will be Sunlight Foundation, a well-known US-based NGO that uses the power of the Internet to catalyze greater government openness and transparency.","The “Network” database (planned launch in September), an open source project of K-Monitor which discloses personal and business connections between Hungarian politicians and businesspeople through scraping data from investigative articles, company registry information, CVs and official gazettes on people (politicians, persons accused of corruption, richest businessmen and managers of companies receiving state funds), institutions (state institutions, local governments, parties, NGOs, private or state-owned companies receiving state funds, top 500 Hungarian companies, companies accused of corruption), transactions (public procurements, EU subsidies and agricultural subsidies), interpersonal, inter-organizational and person/organization relations. An elaborated methodology to detect corrupt networks by SNA methods.","Funding will be used to create an open-source tool for detecting corrupt cliques in decision-making, a sophisticated search engine to filter among various data sources, a network visualization tool to display information in a comprehensible way and to make it possible to embed network graphics in investigative articles.   ","After the development, the tool will be open source and replicable. The new platform will be integrated into K-Monitor’s already existing databases and will require only basic management, upgrade and communication activities which will be covered by the institutional funding of the organization."
FollowThis,http://newschallenge.tumblr.com/post/25575962162/followthis,100000,FollowThis allows sites to notify their users about specific topics they are interested in when updates or related items become available.,FollowThis uses Semantic Web technologies to analyzes the raw data of all of a sites news items as they are created and breaks them up into entities which it uses to compare with other news items. High scores on this relational comparison will result in a notification sent to a user.,Google news alerts works similarly but is keyword related. FollowThis compares articles as a whole and finds similar news items either within a site or across the web. Plus FollowThis will allow news sites to maintain control of distribution to their own userbase.,"It’s simple to understand for users. That’s the most Important quality.It’s at the “point of sale”. Enticing. The FollowThis button that is embedded on an news site’s article page. Simply clicking it and indicating a few preferences is all it takes to indicate your interest in a story. See http://followth.is to see how this would work. Easy to understand. Easy to use. Highly valuable to both publisher and reader.Win!Also, we already have interest from the two largest U.S. newspaper companies to have it deployed on hundreds of high profile news sites, but we want it to be an open system.","Matt Terenzio of Digital First Media is the lead developer and architect. Matt has worked with NYU Studio 20, Berkman Center and contributed to O’Reilly popular book PHP Hacks. Editorial Advisor Matt DeRienzo, also of Digital First Media, and UI advisor is Zoe Fraade-Blanar of MediaCloud and Squishable. DeRienzio was awarded Innovator of the year by AP and Zoe is a successful web entrepreneur and adjunct professor at NYU Studio 20 graduate journalism program.","FollowThis has a working successful prototype, but much work is need in the entity extraction and document comparison features as well as determiming and fulfilling the needs of the organizations that would like to use it.","Further development and evangelization. Specifically, working on the semantic engine could be a full time job for a developer. User interfaces can always be improved and need close coordination with the sites that will house the app on their story pages.","Project will be free and open source and once mature, development will likely slow and be handled by the user community of the library. At such a point a minimal amount of donated money will be enough to maintain and manage the project site."
Coherent Infographics,http://newschallenge.tumblr.com/post/25575960048/coherent-infographics,,"Create a web based data visualisation authoring environment that integrates with the story at every level (code, data and the actual visualisation).","It will minimise the disconnect (especially in production) between the story and visualisation by having the story (or a draft of it) as the main driver (think of the story as the test in the Test Driven Development methodology). Also the infographic published along the story can be even a reactive document, as described by Bret Victor in http://worrydream.com/ExplorableExplanations/","The existing tools are mapping directly the visualisation to code and indirectly to data if any. We want to build a story layer that directly maps to code and data, such that the code (and its output) is written to match the story.","Natural language is easier to communicate; an example in plain English that can be read in the visualisation validates the fact visualisation tells the same story. Driving the creation of a visualisation with the story as a test will not just speed-up the process but create confidence in the visualisation by showing how it tells the same story as the companion article. As interface it will be akin to an online JavaScript code editor, think http://jsfiddle.net/ with Story, Visualisation, Code and Data panels.","The 2012 Knight-Mozilla Fellows: Dan Schultz is in a position to help with development and serve as Project Manager.  Mark Boas, Cole Gillespie, and myself (Laurian Gridinoc) are all about to finish our fellowships and are primed to apply their insider understanding of the way newsrooms work to do serious heavy lifting. Finally, Nicola Hughes is an expert at community management and will be able to help us ensure that this project has a shot at adoption and recognition.","I’ve only had three sanity-checks on the overall “story driven development” with Bret Victor (the author of the aforementioned reactive document style) in winter and yesterday with Jonathan Edwards (MIT, CSAIL) on how domain specific this has to be in order to work. The third was on how could I instrument the JavaScript code to trace the story-linked data points with Brendan Eich (Mozilla, creator of JavaScript) at SXSW Interactive 2012. Inspirational elements are already available from the community: story/algorithm http://worrydream.com/Tangle/ by Bret Victor, code/visualisation http://gabrielflor.it/blog-water","The funds would be used to pay for the development, design, computing power / servers to make this idea a reality, and the community outreach needed to make this a reality that people actually use.","The project would be totally open sourced so we would be the gatekeepers for the project hosted on Github, and as part of the outreach we’ll organise hack days with the OpenNews partners to demonstrate actual newsroom usage."
Personalizing STEM career investigations,http://newschallenge.tumblr.com/post/25575958854/personalizing-stem-career-investigations,100000,Correlating data and personal  interviews to create a repository from scientists and engineers to disseminate STEM career motivations.,"Collect tips and stories from engineers and scientists, so the public will learn more about these professions than just salaries by fostering conversations about STEM career investigations. Tie stories and quotes from STEM professionals to the user’s social and geographical data.","Professional sites (Mentornet, LinkedIn) are inaccessible to early career investigators. We link professionals to users’ local and social networks. and add motivations and stories about why scientists chose their career.","People currently post and answer questions in forums asking about career choices. Decisions are often made based on salaries alone. Finding local mentors and detailed insight into careers will help enable better career investigation.  Crowdsourced personal stories from local professionals can be used for informational interviewing .  Linking the qualitative resource to public facts from US labor statistics and news will help people investigate these careers. Motivational quotes, insights and profiles from engineers, scientists, women and minorities will guide young people to discover new career possibilities. An interactive FAQ will allow users to ask questions about professional STEM careers.","Chris Gouldstone - MIT Aerospace Engineer, MIT Career AdvisorAngela Chang - MIT Media Lab Engineer, MIT $100k competition finalist,  MIT Career AdvisorThe team has spanned 20 years at MIT, and has mentored hundreds of current STEM practitioners, professors, and media artists. We’ve been collecting  anecdotal stories from over 25 years working with scientists and engineers worldwide. Chris has been curating the  Engineering Cheat Sheets http://bit.ly/EngineerCS  to guide his engineering interns. The site currently publishes tips from engineers, with or without attribution (name, job title, city).","Angela has worked on data analysis and visualization for interactive story contributions. Collected biographical stories from hackers at the MIT Media Lab, designers, engineers , and tech entrepreneurs. include: flowers inspired  a procedural animation (David Robert) C3P0 inspired social robotics (Cynthia Breazeal) heights inspired prototyping  (Zoz Brooks) comic books inspired invention (Saul Griffith) Sample collected engineering tips: Larry Page “keep a notebook in your car” Jim Dyson “anytime the way something works frustrates you, write it down” We’d like to add local content, so that there is a local “engineers quote board” and commentary on science/tech news items","Setup a server to poll and provide resources to the public about local STEM career resources.Write code to: Datamine public repositories, news  feeds, and online career sites connect social networking sites to STEM career investigation resources Connect to local resources Collect and organize content from interviews and crowdsourced submissions.","Encourage crowd-sourcing of content, so that parents and children interview local professionals in their town and submit ideas for engaging community. Donations from users and open-sourcing the stories to local career counseling, mentoring, and  parenting outlets. Sell ads to local organizations that are hiring interns, or open for career visits."
Community Data Project,http://newschallenge.tumblr.com/post/25575957706/community-data-project,225000,We will create data hubs that help entrepreneurs and leaders in developing regions to use data to improve their communities.,Valuable data already exists about developing communities—from government statistics to NGO reports. We will make this data accessible to the people who it is about—through education and developing new forms of data representation that are hyper-local.,"Current projects expand data access via portals and technology, but these solutions only address physical access. Our project builds on these efforts by focusing on local understanding of this data.","Our data hubs are physical places in communities that combine local understanding with global expertise in data. Each hub includes: Space: physical presence in an existing community information center such as a community center, cyber cafe or library. Each hub will include tools for data discovery, analysis, and representation. Repository: an online local data repository to aggregate local community data and analysis. Partnership: technologists serve as mentors and collaborators, local partners serve as curators Innovation: Each hub will create its own new versions of data representation based on local systems of storytelling, art, and analysis.","Groupshot is a design and development group based in Cambridge, MA. Groupshot works in partnership with communities and local systems to develop projects and technologies for developing communities. Groupshot has worked extensively in Kenya on projects ranging from new forms of mapping for local understanding, and work on data collection and dissemination via offline networks.The community data project is led by Adam White of Groupshot who worked extensively in Kenya and developing communities around the world on data literacy and design. Groupshot is working in partnership with Maseno University in Western Kenya, as well as technologists from Nairobi’s iHub.","Groupshot has researched the data divide in Kenya and worked with community organizations to understand data-driven impact. We have been working to understand how to make growing digital data access into local data literacy, understanding, and community. We have investigated the information that is inaccessible because of its format—such as geographic maps of data which could take a more local format related to landmarks and local patterns of navigation.Since April 2012, we have built a network of supporters of the project in Kenya including universities, the Kenyan Open Data Initiative, Kenyan technologists, and a global network of advisors.","The news challenge funds would be used to build the data hub repository softwares and launch the first two data hubs in Kenya—one in a slum in Nairobi and one in Western Kenya. The pilots will be used to improve the process, services, and technologies in the hub model.",The project utilizes existing community and global resources. Most hubs will have a minimal operating cost which can be sponsored or supported through products or services for for profit users of the hub.
What Grows On in Rhode Island,http://newschallenge.tumblr.com/post/25575956665/what-grows-on-in-rhode-island,30000,"Build integrated, comprehensive, categorized databases of Rhode Island’s environmental organizations, documents, events, media, etc., freely available for the public good.","It breaks down silos, integrating local government agency, nonprofit, legislative, academic, business, media, and informal citizens activities. It promotes collaboration, reveals redundancies, provides a coherent framework for organizing and accessing dispersed resources, and improves research quality. It helps Rhode Islanders visualize the complex, invisible systems on which our lives depend.","It organizes information around one of five “common-good” infohubs (environment/energy), not around money, disciplines, professions. It thoroughly describes who does what to take care of where we live.","RI’s smallness is ideal for modeling societal innovations. We can expeditiously categorize our organizations, documents, events, etc. — fewer than elsewhere. Distances are short so we can easily meet. This prototype demonstrates the usefulness of organizing information in the public interest rather than for legal, political, business and financial interests. The online open-source content management system, Drupal, is now mature enough to handle the project more effectively. Tools such as RSS and apps can automate redistribution from the infohub to reach all online Rhode Islanders. RI Broadband initiative is extending broadband access to as many Rhode Islanders as possible.","Susan Korté is a corporate librarian who has developed a large concept for enabling more effective discussion and action for public issues through improved access to information organized around five main common-good infohubs. She can develop Drupal websites, and has consultants for backup. She currently has contracts with key environmental organizations to structure their data and improve their outreach: Environment Council of RI (ECRI), RI Environmental Education Association (RIEEA), and Natural Resources Conservation Service. These collaborations lay the foundation for realistic, useful sharing of local environmental information that improves our lives. There is growing local interest in this concept.","What Grows On in RI (www.whatgrowsonri.com) is the events/feeds part of the Environment/Energy Infohub, extensible and scalable. I am building an interactive website for the 60-member ECRI coalitiion, which improves my Drupal capabilities, and I am rebuilding an educational resource directory for RIEEA, which will model the publications and resources Infohub segments. For flower shows, Earth Day celebrations, etc., ad hoc coalitions of environmental groups join to publicize What Grows On as well as their own activities. Local interest is growing — slowly but organically! For more information about the overall project concept see Providential Gardener (www.providentialgardener.com).","Rebuild What Grows On in RI in Drupal. Build the organization directory, documents repository and other infohub segments. Develop automatic redistribution capabilities. Pay for data entry, business development, and outreach assistance. Identify and set prices for viable products and services, and set up systems for producing revenue.","Minimize costs by emphasizing collaborative self-service. Multiple revenue streams:  Advertising/sponsorship in category segments. Customized calendars and feeds for media, business intranet “green pages,” and topical info integrators (RhodyAg.org). Consult on RI info projects, extending to four other infohubs, and adapting the concept for other localities."
